estado;data;obitos
Bahia;2016/04/01;4744
Ceará;2016/04/01;2554
Distrito Federal;2016/04/01;1256
Espírito Santo;2016/04/01;1919
Goiás;2016/04/01;2413
Maranhão;2016/04/01;497
Mato Grosso;2016/04/01;1264
Mato Grosso do Sul;2016/04/01;1344
Minas Gerais;2016/04/01;11215
Paraná;2016/04/01;6261
Paraíba;2016/04/01;1907
Pará;2016/04/01;1189
Pernambuco;2016/04/01;4855
Piauí;2016/04/01;538
Rio Grande do Norte;2016/04/01;781
Rio Grande do Sul;2016/04/01;4825
Rio de Janeiro;2016/04/01;5437
Rondônia;2016/04/01;442
Roraima;2016/04/01;131
Santa Catarina;2016/04/01;2595
Sergipe;2016/04/01;1017
São Paulo;2016/04/01;25940
Tocantins;2016/04/01;325
Acre;2016/05/01;247
Alagoas;2016/05/01;1093
Amapá;2016/05/01;207
Amazonas;2016/05/01;144
Bahia;2016/05/01;4727
Ceará;2016/05/01;2626
Distrito Federal;2016/05/01;1205
Espírito Santo;2016/05/01;2085
Goiás;2016/05/01;2462
Maranhão;2016/05/01;460
Mato Grosso;2016/05/01;1174
Mato Grosso do Sul;2016/05/01;1398
Minas Gerais;2016/05/01;12237
Paraná;2016/05/01;6975
Paraíba;2016/05/01;2288
Pará;2016/05/01;1187
Pernambuco;2016/05/01;5179
Piauí;2016/05/01;661
Rio Grande do Norte;2016/05/01;680
Rio Grande do Sul;2016/05/01;6039
Rio de Janeiro;2016/05/01;5630
Rondônia;2016/05/01;765
Roraima;2016/05/01;134
Santa Catarina;2016/05/01;2894
Sergipe;2016/05/01;729
São Paulo;2016/05/01;25416
Tocantins;2016/05/01;388
Acre;2016/06/01;229
Alagoas;2016/06/01;1124
Amapá;2016/06/01;227
Amazonas;2016/06/01;398
Bahia;2016/06/01;4625
Ceará;2016/06/01;2673
Distrito Federal;2016/06/01;1036
Espírito Santo;2016/06/01;2001
Goiás;2016/06/01;2320
Maranhão;2016/06/01;504
Mato Grosso;2016/06/01;1063
Mato Grosso do Sul;2016/06/01;1491
Minas Gerais;2016/06/01;12204
Paraná;2016/06/01;7506
Paraíba;2016/06/01;2127
Pará;2016/06/01;1021
Pernambuco;2016/06/01;4756
Piauí;2016/06/01;543
Rio Grande do Norte;2016/06/01;774
Rio Grande do Sul;2016/06/01;7214
Rio de Janeiro;2016/06/01;5953
Rondônia;2016/06/01;614
Roraima;2016/06/01;168
Santa Catarina;2016/06/01;3213
Sergipe;2016/06/01;1023
São Paulo;2016/06/01;28945
Tocantins;2016/06/01;383
Acre;2016/07/01;239
Alagoas;2016/07/01;1213
Amapá;2016/07/01;175
Amazonas;2016/07/01;509
Bahia;2016/07/01;4687
Ceará;2016/07/01;2501
Distrito Federal;2016/07/01;1221
Espírito Santo;2016/07/01;2072
