estado;data;obitos
Acre;2020/04/01;303
Alagoas;2020/04/01;1553
Amapá;2020/04/01;133
Amazonas;2020/04/01;2846
Bahia;2020/04/01;6222
Ceará;2020/04/01;4601
Distrito Federal;2020/04/01;1171
Espírito Santo;2020/04/01;2105
Goiás;2020/04/01;2883
Maranhão;2020/04/01;2463
Mato Grosso;2020/04/01;1237
Mato Grosso do Sul;2020/04/01;1310
Minas Gerais;2020/04/01;10563
Paraná;2020/04/01;5898
Paraíba;2020/04/01;2185
Pará;2020/04/01;2973
Pernambuco;2020/04/01;6254
Piauí;2020/04/01;1323
Rio Grande do Norte;2020/04/01;1507
Rio Grande do Sul;2020/04/01;6720
Rio de Janeiro;2020/04/01;16031
Rondônia;2020/04/01;682
Roraima;2020/04/01;200
Santa Catarina;2020/04/01;3602
Sergipe;2020/04/01;1045
São Paulo;2020/04/01;28045
Tocantins;2020/04/01;478
Acre;2020/05/01;403
Alagoas;2020/05/01;2243
Amapá;2020/05/01;264
Amazonas;2020/05/01;2678
Bahia;2020/05/01;7552
Ceará;2020/05/01;7704
Distrito Federal;2020/05/01;1269
Espírito Santo;2020/05/01;2520
Goiás;2020/05/01;3047
Maranhão;2020/05/01;3018
Mato Grosso;2020/05/01;1222
Mato Grosso do Sul;2020/05/01;1334
Minas Gerais;2020/05/01;10868
Paraná;2020/05/01;5701
Paraíba;2020/05/01;2758
Pará;2020/05/01;4739
Pernambuco;2020/05/01;8602
Piauí;2020/05/01;1037
Rio Grande do Norte;2020/05/01;1447
Rio Grande do Sul;2020/05/01;6988
Rio de Janeiro;2020/05/01;20828
Rondônia;2020/05/01;848
Roraima;2020/05/01;315
Santa Catarina;2020/05/01;3201
Sergipe;2020/05/01;962
São Paulo;2020/05/01;29814
Tocantins;2020/05/01;492
Acre;2020/06/01;629
Alagoas;2020/06/01;2505
Amapá;2020/06/01;425
Amazonas;2020/06/01;1676
Bahia;2020/06/01;8886
Ceará;2020/06/01;6070
Distrito Federal;2020/06/01;1678
Espírito Santo;2020/06/01;3054
Goiás;2020/06/01;3346
Maranhão;2020/06/01;3319
Mato Grosso;2020/06/01;1870
Mato Grosso do Sul;2020/06/01;1427
Minas Gerais;2020/06/01;12725
Paraná;2020/06/01;6607
Paraíba;2020/06/01;3005
Pará;2020/06/01;3770
Pernambuco;2020/06/01;6875
Piauí;2020/06/01;1385
Rio Grande do Norte;2020/06/01;2078
Rio Grande do Sul;2020/06/01;7708
Rio de Janeiro;2020/06/01;14384
Rondônia;2020/06/01;585
Roraima;2020/06/01;450
Santa Catarina;2020/06/01;3654
Sergipe;2020/06/01;1456
São Paulo;2020/06/01;34843
Tocantins;2020/06/01;565
Acre;2020/07/01;477
Alagoas;2020/07/01;2027
Amapá;2020/07/01;414
Amazonas;2020/07/01;1389
Bahia;2020/07/01;9455
Ceará;2020/07/01;4883
Distrito Federal;2020/07/01;2141
Espírito Santo;2020/07/01;3001
Goiás;2020/07/01;4488
Maranhão;2020/07/01;3100
Mato Grosso;2020/07/01;2281
Mato Grosso do Sul;2020/07/01;1722
Minas Gerais;2020/07/01;14095
Paraná;2020/07/01;7330
Paraíba;2020/07/01;2976
Pará;2020/07/01;3352
Pernambuco;2020/07/01;6520
Piauí;2020/07/01;1473
Rio Grande do Norte;2020/07/01;2186
Rio Grande do Sul;2020/07/01;9311
Rio de Janeiro;2020/07/01;13304
Rondônia;2020/07/01;1038
Roraima;2020/07/01;355
Santa Catarina;2020/07/01;4481
Sergipe;2020/07/01;1751
São Paulo;2020/07/01;35061
Tocantins;2020/07/01;686
Acre;2020/08/01;420
Alagoas;2020/08/01;1648
Amapá;2020/08/01;301
Amazonas;2020/08/01;1313
Bahia;2020/08/01;8789
Ceará;2020/08/01;4336
Distrito Federal;2020/08/01;2235
Espírito Santo;2020/08/01;2543
Goiás;2020/08/01;4670
Maranhão;2020/08/01;2448
Mato Grosso;2020/08/01;2182
Mato Grosso do Sul;2020/08/01;1915
Minas Gerais;2020/08/01;14100
Paraná;2020/08/01;7428
Paraíba;2020/08/01;2639
Pará;2020/08/01;2688
Pernambuco;2020/08/01;5818
Piauí;2020/08/01;1417
Rio Grande do Norte;2020/08/01;1653
Rio Grande do Sul;2020/08/01;9035
Rio de Janeiro;2020/08/01;13503
Rondônia;2020/08/01;992
Roraima;2020/08/01;192
Santa Catarina;2020/08/01;4745
Sergipe;2020/08/01;1471
São Paulo;2020/08/01;32000
Tocantins;2020/08/01;771
Acre;2020/09/01;381
Alagoas;2020/09/01;1547
Amapá;2020/09/01;251
Amazonas;2020/09/01;1357
Bahia;2020/09/01;7807
Ceará;2020/09/01;4199
Distrito Federal;2020/09/01;1741
Espírito Santo;2020/09/01;2394
Goiás;2020/09/01;4500
Maranhão;2020/09/01;2352
Mato Grosso;2020/09/01;1969
Mato Grosso do Sul;2020/09/01;1874
Minas Gerais;2020/09/01;13357
Paraná;2020/09/01;7104
Paraíba;2020/09/01;2424
Pará;2020/09/01;2757
Pernambuco;2020/09/01;5580
Piauí;2020/09/01;1491
Rio Grande do Norte;2020/09/01;1568
Rio Grande do Sul;2020/09/01;8407
Rio de Janeiro;2020/09/01;13500
Rondônia;2020/09/01;945
Roraima;2020/09/01;194
Santa Catarina;2020/09/01;4027
Sergipe;2020/09/01;1168
São Paulo;2020/09/01;31440
Tocantins;2020/09/01;751
Acre;2020/10/01;334
Alagoas;2020/10/01;1536
Amapá;2020/10/01;256
Amazonas;2020/10/01;1463
Bahia;2020/10/01;7759
Ceará;2020/10/01;4205
Distrito Federal;2020/10/01;1542
Espírito Santo;2020/10/01;2213
Goiás;2020/10/01;4352
Maranhão;2020/10/01;2148
Mato Grosso;2020/10/01;2039
Mato Grosso do Sul;2020/10/01;1894
Minas Gerais;2020/10/01;13687
Paraná;2020/10/01;6740
Paraíba;2020/10/01;2317
Pará;2020/10/01;2266
Pernambuco;2020/10/01;5525
Piauí;2020/10/01;1385
Rio Grande do Norte;2020/10/01;1484
Rio Grande do Sul;2020/10/01;8008
Rio de Janeiro;2020/10/01;13003
Rondônia;2020/10/01;827
Roraima;2020/10/01;192
Santa Catarina;2020/10/01;3773
Sergipe;2020/10/01;1121
São Paulo;2020/10/01;30504
Tocantins;2020/10/01;667
Acre;2020/11/01;366
Alagoas;2020/11/01;1407
Amapá;2020/11/01;208
Amazonas;2020/11/01;1122
Bahia;2020/11/01;7305
Ceará;2020/11/01;3980
Distrito Federal;2020/11/01;1449
Espírito Santo;2020/11/01;2436
Goiás;2020/11/01;3205
Maranhão;2020/11/01;2121
Mato Grosso;2020/11/01;1480
Mato Grosso do Sul;2020/11/01;1418
Minas Gerais;2020/11/01;12212
Paraná;2020/11/01;6608
Paraíba;2020/11/01;2309
Pará;2020/11/01;2180
Pernambuco;2020/11/01;5663
Piauí;2020/11/01;1361
Rio Grande do Norte;2020/11/01;1398
Rio Grande do Sul;2020/11/01;7995
Rio de Janeiro;2020/11/01;14107
Rondônia;2020/11/01;519
Roraima;2020/11/01;232
Santa Catarina;2020/11/01;3843
Sergipe;2020/11/01;1075
São Paulo;2020/11/01;26489
Tocantins;2020/11/01;562
Acre;2020/12/01;385
Alagoas;2020/12/01;1510
Amapá;2020/12/01;315
Amazonas;2020/12/01;1526
Bahia;2020/12/01;7790
Ceará;2020/12/01;4303
Distrito Federal;2020/12/01;1462
Espírito Santo;2020/12/01;2812
Goiás;2020/12/01;3242
Maranhão;2020/12/01;2219
Mato Grosso;2020/12/01;1451
Mato Grosso do Sul;2020/12/01;1905
Minas Gerais;2020/12/01;13452
Paraná;2020/12/01;7667
Paraíba;2020/12/01;2413
Pará;2020/12/01;1970
Pernambuco;2020/12/01;6101
Piauí;2020/12/01;1205
Rio Grande do Norte;2020/12/01;1665
Rio Grande do Sul;2020/12/01;8955
Rio de Janeiro;2020/12/01;17697
Rondônia;2020/12/01;971
Roraima;2020/12/01;234
Santa Catarina;2020/12/01;4935
Sergipe;2020/12/01;1149
São Paulo;2020/12/01;30171
Tocantins;2020/12/01;498
Acre;2021/01/01;416
Alagoas;2021/01/01;1497
Amapá;2021/01/01;342
Amazonas;2021/01/01;3853
Bahia;2021/01/01;8106
Ceará;2021/01/01;4119
Distrito Federal;2021/01/01;1441
Espírito Santo;2021/01/01;2827
Goiás;2021/01/01;3465
Maranhão;2021/01/01;2144
Mato Grosso;2021/01/01;1889
Mato Grosso do Sul;2021/01/01;1874
Minas Gerais;2021/01/01;14858
Paraná;2021/01/01;7506
Paraíba;2021/01/01;2539
Pará;2021/01/01;2114
Pernambuco;2021/01/01;5909
Piauí;2021/01/01;1185
Rio Grande do Norte;2021/01/01;1600
Rio Grande do Sul;2021/01/01;8943
Rio de Janeiro;2021/01/01;15656
Rondônia;2021/01/01;1128
Roraima;2021/01/01;244
Santa Catarina;2021/01/01;4512
Sergipe;2021/01/01;1052
São Paulo;2021/01/01;32515
Tocantins;2021/01/01;578
